kwhTotal,startTime,endTime,chargeTimeHrs,created_day,created_month,kwh_per_hour,weekday_Mon,weekday_Sat,weekday_Sun,weekday_Thu,weekday_Tue,weekday_Wed,startPeriod_Evening,startPeriod_Morning,startPeriod_Night,endPeriod_Evening,endPeriod_Morning,endPeriod_Night
4.1,16,17,1.03,5,3,3.9805825242718442,0,0,0,0,1,0,0,0,0,0,0,0
0.629999999999999,17,17,0.021111111,6,4,29.842105420221564,0,0,0,0,0,1,0,0,0,0,0,0
10.55,17,19,2.934722222,0,4,3.594888783992041,0,0,0,1,0,0,0,0,0,1,0,0
7.73,17,18,1.651111111,5,4,4.681695828040491,1,0,0,0,0,0,0,0,0,1,0,0
7.04,12,14,2.568611111,6,4,2.7407807938895115,0,0,0,0,1,0,0,0,0,0,0,0
2.13,17,18,0.828611111,6,4,2.5705665440926,0,0,0,0,1,0,0,0,0,1,0,0
6.51,12,14,2.320833333,1,4,2.805026930384923,0,0,0,0,0,1,0,0,0,0,0,0
6.67,11,15,4.082222222,2,4,1.6339139902903599,0,0,0,1,0,0,0,1,0,0,0,0
5.47,17,18,1.961388889,2,4,2.788840107475494,0,0,0,1,0,0,0,0,0,1,0,0
7.71,15,19,3.696111111,2,4,2.085976251377904,0,0,0,0,0,1,0,0,0,1,0,0
7.3,17,21,3.531388889,2,4,2.0671753322719364,1,0,0,0,0,0,0,0,0,1,0,0
7.88,16,19,3.363333333,3,4,2.342913776248059,0,0,0,0,1,0,0,0,0,1,0,0
3.79,11,15,4.147222222,4,4,0.9138647019913658,0,0,0,0,0,1,0,1,0,0,0,0
1.93,16,17,0.998055556,4,4,1.9337600882009418,0,0,0,0,0,1,0,0,0,0,0,0
6.11,16,18,2.003888889,3,4,3.049071250177484,1,0,0,0,0,0,0,0,0,1,0,0
5.36,17,20,3.470555556,5,4,1.5444213220368919,0,0,0,0,1,0,0,0,0,1,0,0
10.55,18,20,2.311944444,0,4,4.563258441343412,0,0,0,1,0,0,1,0,0,1,0,0
5.07,16,19,3.3375,5,5,1.5191011235955056,1,0,0,0,0,0,0,0,0,1,0,0
6.41,14,16,2.395555556,6,5,2.675788496720633,0,0,0,0,1,0,0,0,0,0,0,0
5.49,17,20,2.971111111,0,5,1.847793567757958,0,0,0,0,0,1,0,0,0,1,0,0
10.55,17,19,1.894444444,1,5,5.5689149573182215,0,0,0,1,0,0,0,0,0,1,0,0
5.49,15,18,2.801666667,3,5,1.9595478879286676,0,0,0,0,0,0,0,0,0,1,0,0
2.46,17,18,0.8025,6,5,3.0654205607476634,1,0,0,0,0,0,0,0,0,1,0,0
10.55,16,20,3.964444444,1,5,2.6611547088185152,0,0,0,0,1,0,0,0,0,1,0,0
4.35,15,18,3.0975,2,5,1.4043583535108957,0,0,0,0,0,1,0,0,0,1,0,0
4.87,17,18,0.865277778,3,5,5.6282503998386515,0,0,0,1,0,0,0,0,0,1,0,0
10.55,15,19,3.610555556,4,5,2.921987997793878,0,0,0,0,0,0,0,0,0,1,0,0
8.82,16,20,3.551666667,1,5,2.483341154154543,1,0,0,0,0,0,0,0,0,1,0,0
10.55,16,20,3.708333333,4,5,2.8449438204804447,0,0,0,0,0,1,0,0,0,1,0,0
10.55,17,19,2.093055556,5,5,5.040477769334471,0,0,0,1,0,0,0,0,0,1,0,0
10.55,17,20,2.681388889,6,5,3.9345281258081624,0,0,0,0,0,0,0,0,0,1,0,0
10.55,16,20,3.776388889,4,5,2.7936741448240183,0,0,0,0,1,0,0,0,0,1,0,0
10.55,16,21,4.437777778,5,5,2.377315973841897,0,0,0,0,0,1,0,0,0,1,0,0
10.55,11,15,3.643055556,0,5,2.8959207011335515,0,0,0,1,0,0,0,1,0,0,0,0
4.97,17,18,0.891388889,0,5,5.57556871229971,0,0,0,1,0,0,0,0,0,1,0,0
5.21,12,14,1.646388889,1,5,3.1645014339015014,0,0,0,0,0,0,0,0,0,0,0,0
6.93,16,20,3.39,4,6,2.0442477876106193,1,0,0,0,0,0,0,0,0,1,0,0
9.75,17,20,3.046388889,5,6,3.2005106226606905,0,0,0,0,1,0,0,0,0,1,0,0
8.1,15,17,1.538333333,6,6,5.265438787706487,0,0,0,0,0,1,0,0,0,0,0,0
10.55,11,15,3.69,1,6,2.859078590785908,0,0,0,1,0,0,0,1,0,0,0,0
1.66,16,17,0.313611111,1,6,5.293179807012641,0,0,0,1,0,0,0,0,0,0,0,0
6.78,12,15,3.231388889,2,6,2.0981690019049886,0,0,0,0,0,0,0,0,0,0,0,0
1.37,17,19,1.932777778,2,6,0.7088243747388533,0,0,0,0,0,0,0,0,0,1,0,0
